用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
星星的药,"
                    又是一夜没睡   失眠  头痛 ​                ",  , , ,"
                        02月28日 05:11
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/2905425431/Iwe9yneq0?refer_flag=1001030103_
你的星冰乐呢,"
                    一夜没睡  起来找了个鸡蛋吃  纠结我要不要开电脑算工资呢 ​                ",  , , ,"
                        02月28日 04:57
                        ",iPhone XS Max,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/2375505134/Iwe3whDAP?refer_flag=1001030103_
卖袜子的大璐璐,"
                    #NOW#我分享了你的大璐璐已上线的小视频：又是一夜没睡……，快来围观，点此进入>>ONOW直播 ​                ",  , , 1,"
                        02月28日 04:54
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/2797832211/Iwe2BxpXl?refer_flag=1001030103_
野原美伢伢-,"
                    又是一夜没睡... ​                ",  , , ,"
                        02月28日 04:51
                        ",妖精🍑iPhone XS Max,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/3609367767/Iwe1qeMiP?refer_flag=1001030103_
楪蔲,"
                    又是一夜没睡刷到了个营销号发的蔡徐坤突然觉得他还真的挺好看的为什么以前从来都不注意男孩子的长相呢。。。 ​                ",  , , 3,"
                        02月28日 04:40
                        ",,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/3299595581/IwdWZbbQ9?refer_flag=1001030103_
爱跑酷的药师阿文,"
                    一夜没睡，爸妈难受了一晚上，我也难受了一晚上，作为一个年轻人，作为一个现代文明的年轻人可能给自己定位太高了吧，没背景没能力没外表，三无人员，我有什么资格去谈梦想更别说谈情说爱，可能之前做的太多的错事，走歪了很多路，就像弗洛斯特说的那样，那条我未曾选择的路，没人知道结果，而正是我选择了那条与众不同的路，造就独特人生，诗写的很好，励志故事也很好，可是现实没那么柔软，有时候它硬的你甚至不敢触碰。今天凌晨，带着耳机一遍一遍听着励志歌曲，洗刷心里需要救赎的灵魂，我要做的事还很多，我要坚持下去的时间也很久，我曾经一直害怕成为爸妈眼里只配做劳力的人，一直心里对社会底层人民的工作有着不一样的看法，我不排斥，但我不可能去做，后来想想全靠双手吃饭和全靠你脑子吃饭的工作，差别不过是出生背景不同带来的短暂的结果而已，这种结果你除了认清之后再继续努力改变别无他法，这社会你一份工作成不了任何事，一个人也很难在偌大的世界激起一丝涟漪，我突然想起一段话，一个强者不在于他有多大能力，而在于他认清事实之后，全力以赴面对，至于结果如何，我尽力了，我不抱怨命运不公。我没你们那么好的命，但这不代表心甘情愿认输。以后做人务实简单坚持，对得起自己，让自己活在幸福的路上，而不是悲愤和后悔里。 2合肥·阿骆的远方(城隍庙店) 收起全文d
                ",  , 2, 1,"
                        02月28日 04:37
                        ",nova4自拍极点全面屏,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/2039641691/IwdVor0qe?refer_flag=1001030103_
李亚红super,"
                    失眠也不过如此吗？整整一夜没睡。是让我思考人生吗？ 2商丘·宁陵县 ​                ",  , , ,"
                        02月28日 04:13
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/5285702734/IwdLGe0IW?refer_flag=1001030103_
煎雪看云起,"
                    #有哪些事后知后觉感到庆幸#第三件事是刚发生不久的，因为觉得自己缺课太多，心血来潮开始整理他的行程单，边整理边寻找录像资料想要方便以后的观看跟回忆，熬了一整夜整理了他近年来的行程跟视频。睡了十来个小时，可能也有熬夜的前一天也没睡好的原因。当我从睡醒后，刚一夜未睡的疲惫中缓过来甚至来不及吃晚饭，我照旧打开B站想看看他，这是我睡醒后必须做的事情。一点开就发现很多视频资料没有了，先不说失效原因只谈我的心情。我是一个缺席了他过往很久的人，我的课现在都没有补完。我当时看着自己存下来的东西真的万分庆幸，直到现在我还是庆幸至极 收起全文d
                ",  , , 1,"
                        02月28日 02:52
                        ",小米8周年旗舰手机,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/5900845652/IwdeS5YhN?refer_flag=1001030103_
mei艺吖,"
                    许龄月 签到，打榜啦！一夜没睡不行了，我要眯一会儿了@许龄月Amelie 一会儿再来#为龄月姐姐打榜啦！# @许龄月的恺哥 @许龄月的繁星 ​                ",  2, 9, 13,"
                        02月28日 02:08
                        ",许龄月超话,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/7271862143/IwcXcpyJa?refer_flag=1001030103_
heat_milk,"
                    原来上学那会一夜没睡看的不是sci啊，那我当年看得是啥？ ​                ",  , 6, ,"
                        02月28日 00:55
                        ",微博国际版,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/3957127159/Iwctj4BBs?refer_flag=1001030103_
萝啵酱酱,"
                    昨天一夜没睡，白天也没睡！现在我也不想睡就坐在这里刷微博 ​                ",  1, 4, 2,"
                        02月28日 00:38
                        ",Android,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/6346382308/IwcmCvI4w?refer_flag=1001030103_
史嫣妮,"
                    昨晚，被我家小神兽折腾的一夜没睡，她日夜颠倒了。       今天整个人都浑浑噩噩，头晕脑胀，负面情绪暴涨，但是是我女儿，我得忍耐，得学会调节自己，不然怎么办。        最近这几个月总是晚上看直播买东西，有时候看的热血沸腾，为自己抢到划算的好东西高兴半天，但我购物也越来越理智了，家里有的东西绝对不囤货，用老话说是有钱不买半年闲。        记得小时候，总喜欢有自己小空间，然后有自己收藏的好物品，用一个箱子或者抽提藏起来，生怕妹妹翻我东西。        现在长大了，从便宜东西逐渐过渡到好东西，随之消费观念也变化了许多，趋于理智，趋于享受当下，趋于断舍离。现在想想三年前收集的东西百分之六十都不太用了，还不如享受当下，在最喜欢的时候拥有。        可随着经济飞速发展，我们这一代人拥有的东西太多了，这次疫情，在家闲的不停收拾，发现我太多东西自己都想不起来，也有太多东西没有任何实际应用，只是放在那里，才发现原来我需要断舍离，不需要有太多东西，在我这里没用的东西能给到真正需要的人才是物尽其用。        人生短暂，不需要拥有太多东西，简简单单就好。 收起全文d
                ",  , , 1,"
                        02月27日 23:39
                        ",HUAWEI P20 Pro,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/1280806440/IwbYrqeCz?refer_flag=1001030103_
地球美容师,"
                    我真的不值得你还为我留一点点爱吗？我做任何事都不是为了回报而做，只求自己问心无愧，跟着心走。爱就爱，不爱就不爱。初恋也好，离婚也罢，从没有过你对我说分手的伤害大，那种绞心的感觉你体验过吗，昨天一夜没睡，今天困一天，睡不着，现在困，就是睡不着，如果眼睛一闭，一辈子就过去了多好，也不会那么痛，那种心痛，你能感受到吗？我说过，尊重你，你家人我都认识，我在他们心中就是黑黑的戴个眼镜，人还不错。就让他们永远把我定格在人还不错这里吧，好与坏也没人知道了。心里的泪就让它流在自己的心里吧。今天才知道爱的深，伤的遍体鳞伤的感觉了。 收起全文d
                ",  , , ,"
                        02月27日 23:28
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/2208973502/IwbUa64JP?refer_flag=1001030103_
陈陈陈陈陈考拉,"
                    这个点睡醒了 清醒的我感觉能打一百个电话一周没睡一夜踏实觉 我想做个好梦 ​                ",  , , ,"
                        02月27日 23:19
                        ",iPhone X,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/1736025953/IwbQz2IZT?refer_flag=1001030103_
龙哥评事儿,"
                    爆:李四转告辛巴 被无耻粉丝气的一夜没睡     今晚辛巴8点开播跟天津李四连麦，李四对辛巴说，昨天818中奖粉丝奖已经全部发出了，但是有一个粉丝把我气死了，领了奖还说没领到，还去评论区黑我，但我都有转账记录，我刚开播已经给他爆出来，辛巴说，发了就行，大家不要贪得无厌中了就挺好了，李四说，气的我一晚上都没睡好。 L龙哥评事儿的微博视频 收起全文d
                ",  3, 2, 19,"
                        02月27日 22:47
                        ",HUAWEI Mate 20 X,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/6725218895/IwbDsFqtt?refer_flag=1001030103_
韩哥娱乐,"
                    李四转告辛巴 被无耻粉丝气的一夜没睡     今晚辛巴8点开播跟天津李四连麦，李四对辛巴说，昨天818中奖粉丝奖已经全部发出了，但是有一个粉丝把我气死了，领了奖还说没领到，还去评论区黑我，但我都有转账记录，我刚开播已经给他爆出来，辛巴说，发了就行，大家不要贪得无厌中了就挺好了，李四说，气的我一晚上都没睡好。#快手##网红##直播#  L韩哥娱乐的微博视频 收起全文d
                ",  , 1, 6,"
                        02月27日 22:18
                        ",360安全浏览器,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/6233824077/IwbrIz41T?refer_flag=1001030103_
QUANLAND,"
                    1 仔细想想自己在人际交往上的确陷入了误区2 赫莲娜真的我的回春神药 洗完澡用了然后一夜没睡 早晨起来照样容光焕发毫不憔悴3 我的上眼皮色素沉积越来越重了不知道为什么 自带眼影效果逐渐加成 ​                ",  , , 2,"
                        02月27日 21:07
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/2521679451/IwaYUEWUr?refer_flag=1001030103_
麗太O,"
                    上次吃草莓小宝开心的活跃了一夜没睡，刚吃完七颗，不知道今晚我能不能睡 ​                ",  , , ,"
                        02月27日 20:51
                        ",小米8 屏幕指纹版,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/2395385347/IwaSx2oaV?refer_flag=1001030103_
光光永不灭,"
                    坚持养了半月的颜..因为一夜没睡..都白瞎了！ ​                ",  , , ,"
                        02月27日 20:49
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=44,https://weibo.com/3191114850/IwaRG6xmH?refer_flag=1001030103_
红色de千纸鹤,"
                    易烊千玺不行了，昨晚一夜没睡，今晚困的要死，睡觉了，宝贝，晚安安 ​                ",  , , ,"
                        02月27日 20:48
                        ",易烊千玺超话,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=45,https://weibo.com/5327700656/IwaReiKxe?refer_flag=1001030103_
X琪萱萱琪,"
                    #喜欢哈利波特的理由#莫名的吸引力 一年重复看十几次 初中接触以后我记得我一夜没睡看了前三本 夏天开着小台灯看了一夜 ​                ",  , 2, 1,"
                        02月27日 19:59
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=45,https://weibo.com/3098100817/Iwaxjt50i?refer_flag=1001030103_
薄荷飞天夜,"
                    我昨晚一夜没睡，现在好累，但还是睡不着。 ​                ",  , , ,"
                        02月27日 19:35
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=45,https://weibo.com/6080147156/Iwanq3dto?refer_flag=1001030103_
赴一场爱意-,"
                    没想到这个桃桃红柚还蛮好喝在家真是啥也不干天天喝饮料忘了谁推荐的女将星实在是太太太太太好看了看到后面禾晏和肖嘟嘟被赐婚我tm嘴咧的跟被赐婚的人是我一样好久没有过通宵看小说了偶尔来一次觉得相当过瘾哪怕一夜没睡依旧精力充沛要不是怕被鑫辉揍我还能通他5个宵 ​                ",  , 3, ,"
                        02月27日 19:31
                        ",vivo X27,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=45,https://weibo.com/5239051730/IwalO8KOr?refer_flag=1001030103_
光芒千万丈小太阳,"
                    真就一夜没睡呗不看了不看了，啥辣鸡课，随便考算了，天都亮了 2美国·马尔登 ​                ",  , , 1,"
                        02月27日 19:25
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=45,https://weibo.com/3700090467/IwajFrB4m?refer_flag=1001030103_
西早西早,"
                    一夜没睡，肝论文到现在的没谁了，主要是越写越能写我也不知道为何熬夜使人创造力大幅度提升。 ​                ",  , , ,"
                        02月27日 19:00
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=45,https://weibo.com/2670665563/Iwa9z1nlu?refer_flag=1001030103_
YangXyq,"
                    没想到二十来年以来第一次通宵因为牙疼一夜没睡牙疼真的太难受了 2淮安·盱眙县 ​                ",  , , 1,"
                        02月27日 18:39
                        ",荣耀20 PRO,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=45,https://weibo.com/6273900412/Iwa0ZqgBI?refer_flag=1001030103_
牡丹吊兰_95524,"
                    前天开始，基本都是爸爸在热饭，但是这个星期我周一周三都去医院，而且在买东西，去了梅园菜场和李园菜场，他也就热了几个菜而已，今天开始，由于昨晚他一夜没睡，他就开始偷懒了，现在就是饭点，可是他还在和妈妈说去医院的事情，不知道烧菜，昨天中午的菜也是我烧的，急急忙忙忙个半天，还是没吃上。 ​                ",  , , ,"
                        02月27日 18:20
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%2580%25E5%25A4%259C%25E6%25B2%25A1%25E7%259D%25A1?q=%E4%B8%80%E5%A4%9C%E6%B2%A1%E7%9D%A1&scope=ori&suball=1&Refer=g&page=45,https://weibo.com/5691504658/Iw9TdcW3w?refer_flag=1001030103_
